"순번","노선명(도로명)","도로종류","도로기능","도로규모","도로폭","시도구도구분"
"3051","도림로141라길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3052","도림로143길","일반도로","국지도로","소로","6m미만","구도"
"3053","도림로144길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3054","도림로145길","일반도로","국지도로","소로","6m미만","구도"
"3055","도림로147길","일반도로","국지도로","소로","6m미만","구도"
"3056","도림로17길","일반도로","국지도로","소로","6m미만","구도"
"3057","도림로19길","일반도로","국지도로","소로","6m미만","구도"
"3058","도림로20가길","일반도로","국지도로","소로","6m미만","구도"
"3059","도림로20길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3060","도림로22길","일반도로","국지도로","소로","6m미만","구도"
"3061","도림로23길","일반도로","국지도로","소로","6m미만","구도"
"3062","도림로24길","일반도로","국지도로","소로","6m미만","구도"
"3063","도림로26길","일반도로","국지도로","소로","6m미만","구도"
"3064","도림로28길","일반도로","국지도로","소로","6m미만","구도"
"3065","도림로3길","일반도로","국지도로","소로","6m미만","구도"
"3066","도림로31길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3067","도림로33길","일반도로","국지도로","소로","6m미만","구도"
"3068","도림로36길","일반도로","국지도로","소로","6m미만","구도"
"3069","도림로37길","일반도로","국지도로","소로","6m미만","구도"
"3070","도림로38길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3071","도림로39길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3072","도림로40길","일반도로","국지도로","소로","6m미만","구도"
"3073","도림로41길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3074","도림로47가길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3075","도림로47길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3076","도림로47나길","일반도로","국지도로","소로","6m미만","구도"
"3077","도림로48길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3078","도림로50길","일반도로","국지도로","소로","6m미만","구도"
"3079","도림로52길","일반도로","국지도로","소로","6m미만","구도"
"3080","도림로53길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3081","도림로54길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3082","도림로55길","일반도로","국지도로","소로","6m미만","구도"
"3083","도림로57길","일반도로","국지도로","소로","6m미만","구도"
"3084","도림로58길","일반도로","국지도로","소로","6m미만","구도"
"3085","도림로59길","일반도로","국지도로","소로","6m미만","구도"
"3086","도림로6길","일반도로","국지도로","소로","6m미만","구도"
"3087","도림로61가길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3088","도림로61길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3089","도림로61나길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3090","도림로62가길","일반도로","국지도로","소로","6m미만","구도"
"3091","도림로62길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3092","도림로62나길","일반도로","국지도로","소로","6m미만","구도"
"3093","도림로63가길","일반도로","국지도로","소로","6m미만","구도"
"3094","도림로63길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3095","도림로63나길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3096","도림로63다길","일반도로","국지도로","소로","6m미만","구도"
"3097","도림로63라길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3098","도림로64가길","일반도로","국지도로","소로","6m미만","구도"
"3099","도림로64길","일반도로","국지도로","소로","6m미만","구도"
"3100","도림로65길","일반도로","국지도로","소로","6m미만","구도"
"3101","도림로69길","일반도로","국지도로","소로","6m미만","구도"
"3102","도림로73길","일반도로","국지도로","소로","6m미만","구도"
"3103","도림로75길","일반도로","국지도로","소로","6m미만","구도"
"3104","도림로77길","일반도로","국지도로","소로","6m미만","구도"
"3105","도림로8길","일반도로","국지도로","소로","6m미만","구도"
"3106","도림로80가길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3107","도림로80길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3108","도림로81길","일반도로","국지도로","소로","6m미만","구도"
"3109","도림로83길","일반도로","국지도로","소로","6m미만","구도"
"3110","도림로85길","일반도로","국지도로","소로","6m미만","구도"
"3111","도림로86길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3112","도림로87길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3113","도림로89길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3114","도림로91길","일반도로","국지도로","소로","6m미만","구도"
"3115","도림로96길","일반도로","국지도로","소로","6m미만","구도"
"3116","도림로98길","일반도로","국지도로","소로","6m미만","구도"
"3117","도림천로","일반도로","국지도로","중로2류","폭15-20m","구도"
"3118","도림천로11길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3119","도림천로12길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3120","도림천로13길","일반도로","국지도로","소로3류","폭6-8m","구도"
"3121","도림천로15길","일반도로","국지도로","소로","6m미만","구도"
"3122","도림천로19길","일반도로","국지도로","소로","6m미만","구도"
"3123","도림천로21길","일반도로","국지도로","소로2류","폭8-10m","구도"
"3124","도봉로","일반도로","국지도로","중로2류","폭15-20m","구도"
"3125","도봉로1길","일반도로","국지도로","소로","6m미만","구도"
"3126","도봉로10가길","일반도로","국지도로","소로","6m미만","구도"
